
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
__module.model.layers.6.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.921
__module.model.layers.6.self_attn/aten::transpose/Transpose_3                                                 0.041
__module.model.layers.6.self_attn/aten::reshape/Reshape_2                                                     0.001
__module.model.layers.6.self_attn.o_proj/ov_ext::linear/MatMul                                                1.632
__module.model.layers.6/aten::add/Add                                                                         0.045
__module.model.layers.6.post_attention_layernorm/aten::mul/Multiply_1                                         0.044
__module.model.layers.6.mlp.gate_proj/ov_ext::linear/MatMul                                                   6.894
__module.model.layers.6.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.6.mlp.up_proj/ov_ext::linear/MatMul                                                     6.484
__module.model.layers.6.mlp/aten::mul/Multiply                                                                0.250
__module.model.layers.6.mlp.down_proj/ov_ext::linear/MatMul                                                   9.034
__module.model.layers.6/aten::add/Add_1                                                                       0.059
__module.model.layers.7.input_layernorm/aten::mul/Multiply_1                                                  0.047
__module.model.layers.7.self_attn.q_proj/ov_ext::linear/MatMul                                                1.791
__module.model.layers.7.self_attn/aten::view/Reshape                                                          0.000
__module.model.layers.7.self_attn/aten::add/Add                                                               0.096
__module.model.layers.7.self_attn.k_proj/ov_ext::linear/MatMul                                                0.474
__module.model.layers.7.self_attn/aten::view/Reshape_1                                                        0.000
__module.model.layers.7.self_attn/aten::add/Add_1                                                             0.027
__module.model.layers.7.self_attn.v_proj/ov_ext::linear/MatMul                                                0.478
__module.model.layers.7.self_attn/aten::view/Reshape_2                                                        0.000
__module.model.layers.7.self_attn/aten::transpose/Transpose_2                                                 0.011
__module.model.layers.7.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.959
__module.model.layers.7.self_attn/aten::transpose/Transpose_3                                                 0.040
__module.model.layers.7.self_attn/aten::reshape/Reshape_2                                                     0.000
__module.model.layers.7.self_attn.o_proj/ov_ext::linear/MatMul                                                1.647
__module.model.layers.7/aten::add/Add                                                                         0.046
__module.model.layers.7.post_attention_layernorm/aten::mul/Multiply_1                                         0.045
__module.model.layers.7.mlp.gate_proj/ov_ext::linear/MatMul                                                   6.907
__module.model.layers.7.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.7.mlp.up_proj/ov_ext::linear/MatMul                                                     6.391
__module.model.layers.7.mlp/aten::mul/Multiply                                                                0.246
__module.model.layers.7.mlp.down_proj/ov_ext::linear/MatMul                                                   9.035
__module.model.layers.7/aten::add/Add_1                                                                       0.059
__module.model.layers.8.input_layernorm/aten::mul/Multiply_1                                                  0.049
__module.model.layers.8.self_attn.q_proj/ov_ext::linear/MatMul                                                1.728
__module.model.layers.8.self_attn/aten::view/Reshape                                                          0.000
__module.model.layers.8.self_attn/aten::add/Add                                                               0.094
__module.model.layers.8.self_attn.k_proj/ov_ext::linear/MatMul                                                0.478
__module.model.layers.8.self_attn/aten::view/Reshape_1                                                        0.000
__module.model.layers.8.self_attn/aten::add/Add_1                                                             0.026
__module.model.layers.8.self_attn.v_proj/ov_ext::linear/MatMul                                                0.483
__module.model.layers.8.self_attn/aten::view/Reshape_2                                                        0.000
__module.model.layers.8.self_attn/aten::transpose/Transpose_2                                                 0.011
__module.model.layers.8.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.913
__module.model.layers.8.self_attn/aten::transpose/Transpose_3                                                 0.043
__module.model.layers.8.self_attn/aten::reshape/Reshape_2                                                     0.000
__module.model.layers.8.self_attn.o_proj/ov_ext::linear/MatMul                                                1.760
__module.model.layers.8/aten::add/Add                                                                         0.045
__module.model.layers.8.post_attention_layernorm/aten::mul/Multiply_1                                         0.045
__module.model.layers.8.mlp.gate_proj/ov_ext::linear/MatMul                                                   8.856
__module.model.layers.8.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.8.mlp.up_proj/ov_ext::linear/MatMul                                                     7.319
__module.model.layers.8.mlp/aten::mul/Multiply                                                                0.247
__module.model.layers.8.mlp.down_proj/ov_ext::linear/MatMul                                                   9.052
__module.model.layers.8/aten::add/Add_1                                                                       0.059
__module.model.layers.9.input_layernorm/aten::mul/Multiply_1                                                  0.045
__module.model.layers.9.self_attn.q_proj/ov_ext::linear/MatMul                                                1.784
__module.model.layers.9.self_attn/aten::view/Reshape                                                          0.000
__module.model.layers.9.self_attn/aten::add/Add                                                               0.092
__module.model.layers.9.self_attn.k_proj/ov_ext::linear/MatMul                                                0.483
__module.model.layers.9.self_attn/aten::view/Reshape_1                                                        0.000
__module.model.layers.9.self_attn/aten::add/Add_1                                                             0.028
__module.model.layers.9.self_attn.v_proj/ov_ext::linear/MatMul                                                0.563
__module.model.layers.9.self_attn/aten::view/Reshape_2                                                        0.002
__module.model.layers.9.self_attn/aten::transpose/Transpose_2                                                 0.031
__module.model.layers.9.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                1.271
__module.model.layers.9.self_attn/aten::transpose/Transpose_3                                                 0.089
__module.model.layers.9.self_attn/aten::reshape/Reshape_2                                                     0.001
__module.model.layers.9.self_attn.o_proj/ov_ext::linear/MatMul                                                1.641
__module.model.layers.9/aten::add/Add                                                                         0.108
__module.model.layers.9.post_attention_layernorm/aten::mul/Multiply_1                                         0.049
__module.model.layers.9.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.178
__module.model.layers.9.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.9.mlp.up_proj/ov_ext::linear/MatMul                                                     6.864
__module.model.layers.9.mlp/aten::mul/Multiply                                                                0.410
__module.model.layers.9.mlp.down_proj/ov_ext::linear/MatMul                                                   8.993
__module.model.layers.9/aten::add/Add_1                                                                       0.061
__module.model.layers.10.input_layernorm/aten::mul/Multiply_1                                                 0.046
__module.model.layers.10.self_attn.q_proj/ov_ext::linear/MatMul                                               1.912
__module.model.layers.10.self_attn/aten::view/Reshape                                                         0.000
__module.model.layers.10.self_attn/aten::add/Add                                                              0.111
__module.model.layers.10.self_attn.k_proj/ov_ext::linear/MatMul                                               0.470
__module.model.layers.10.self_attn/aten::view/Reshape_1                                                       0.000
__module.model.layers.10.self_attn/aten::add/Add_1                                                            0.026
