
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
__module.model.layers.3.self_attn/aten::transpose/Transpose_2                                                 0.015
__module.model.layers.3.self_attn/aten::cat/Concat_3                                                          0.040
Multiply_46503                                                                                                0.022
Clamp_46505                                                                                                   0.000
Convert_46506                                                                                                 0.020
Convert_46507                                                                                                 0.020
__module.model.layers.3.self_attn/aten::unsqueeze/Unsqueeze_3/fc_input_0                                      0.021
__module.model.layers.3.self_attn/aten::unsqueeze/Unsqueeze_3                                                 0.004
Broadcast_38852                                                                                               0.048
Broadcast_38852_f32_bf16___module.model.layers.3.self_attn/aten::expand/Broadcast_1                           0.055
__module.model.layers.3.self_attn/aten::expand/Broadcast_1                                                    0.067
__module.model.layers.3.self_attn/aten::reshape/Reshape_1                                                     0.005
__module.model.layers.3.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.150
Multiply_46512                                                                                                0.000
Clamp_46514                                                                                                   0.000
Convert_46515                                                                                                 0.065
Convert_46516                                                                                                 0.064
__module.model.layers.3.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention/fc_output_0          0.064
__module.model.layers.3.self_attn/aten::transpose/Transpose_3                                                 0.027
__module.model.layers.3.self_attn/aten::reshape/Reshape_2                                                     0.004
__module.model.layers.3.self_attn.o_proj/ov_ext::linear/MatMul                                                1.646
__module.model.layers.3/aten::add/Add                                                                         0.049
__module.model.layers.3.post_attention_layernorm/aten::mul/Multiply_1                                         0.045
Multiply_46521                                                                                                0.051
Clamp_46523                                                                                                   0.000
Convert_46524                                                                                                 0.057
Convert_46525                                                                                                 0.063
__module.model.layers.3.post_attention_layernorm/aten::mul/Multiply_1/fc_output_0                             0.044
__module.model.layers.3.mlp.gate_proj/ov_ext::linear/MatMul                                                   6.470
__module.model.layers.3.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.3.mlp.up_proj/ov_ext::linear/MatMul                                                     6.076
__module.model.layers.3.mlp/aten::mul/Multiply                                                                0.239
Multiply_46530                                                                                                0.000
Clamp_46532                                                                                                   0.000
Convert_46533                                                                                                 0.210
Convert_46534                                                                                                 0.234
__module.model.layers.3.mlp/aten::mul/Multiply/fc_output_0                                                    0.208
__module.model.layers.3.mlp.down_proj/ov_ext::linear/MatMul                                                   9.553
__module.model.layers.3/aten::add/Add_1                                                                       0.064
__module.model.layers.4.input_layernorm/aten::mul/Multiply_1                                                  0.053
Multiply_46539                                                                                                0.054
Clamp_46541                                                                                                   0.000
Convert_46542                                                                                                 0.059
Convert_46543                                                                                                 0.061
__module.model.layers.4.input_layernorm/aten::mul/Multiply_1/fc_output_0                                      0.046
__module.model.layers.4.self_attn.q_proj/ov_ext::linear/MatMul                                                1.759
__module.model.layers.4.self_attn/aten::view/Reshape                                                          0.008
__module.model.layers.4.self_attn/aten::add/Add                                                               0.090
Multiply_46548                                                                                                0.073
Clamp_46550                                                                                                   0.000
Convert_46551                                                                                                 0.057
Convert_46552                                                                                                 0.062
__module.model.layers.4.self_attn/aten::add/Add/fc_output_0                                                   0.069
Multiply_32613                                                                                                0.000
Gather_49775                                                                                                  0.005
__module.model.layers.4.self_attn.k_proj/ov_ext::linear/MatMul                                                0.528
__module.model.layers.4.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.4.self_attn/aten::add/Add_1                                                             0.030
__module.model.layers.4.self_attn/aten::cat/Concat_2                                                          0.038
Multiply_46557                                                                                                0.021
Clamp_46559                                                                                                   0.000
Convert_46560                                                                                                 0.020
Convert_46561                                                                                                 0.026
__module.model.layers.4.self_attn/aten::unsqueeze/Unsqueeze_2/fc_input_0                                      0.021
__module.model.layers.4.self_attn/aten::unsqueeze/Unsqueeze_2                                                 0.004
Broadcast_38858                                                                                               0.048
Broadcast_38858_f32_bf16___module.model.layers.4.self_attn/aten::expand/Broadcast                             0.054
__module.model.layers.4.self_attn/aten::expand/Broadcast                                                      0.067
__module.model.layers.4.self_attn/aten::reshape/Reshape                                                       0.005
MatMul_32614                                                                                                  0.143
Add_32616                                                                                                     0.094
Softmax_32617                                                                                                 0.367
Gather_49778                                                                                                  0.007
__module.model.layers.4.self_attn.v_proj/ov_ext::linear/MatMul                                                0.445
__module.model.layers.4.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.4.self_attn/aten::transpose/Transpose_2                                                 0.017
__module.model.layers.4.self_attn/aten::cat/Concat_3                                                          0.040
Multiply_46566                                                                                                0.024
Clamp_46568                                                                                                   0.000
Convert_46569                                                                                                 0.021
Convert_46570                                                                                                 0.021
__module.model.layers.4.self_attn/aten::unsqueeze/Unsqueeze_3/fc_input_0                                      0.021
__module.model.layers.4.self_attn/aten::unsqueeze/Unsqueeze_3                                                 0.005
Broadcast_38864                                                                                               0.071
Broadcast_38864_f32_bf16___module.model.layers.4.self_attn/aten::expand/Broadcast_1                           0.055
__module.model.layers.4.self_attn/aten::expand/Broadcast_1                                                    0.068
__module.model.layers.4.self_attn/aten::reshape/Reshape_1                                                     0.005
__module.model.layers.4.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.171
Multiply_46575                                                                                                0.000
Clamp_46577                                                                                                   0.000
Convert_46578                                                                                                 0.064
