
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
__module.model.layers.1.self_attn/aten::transpose/Transpose_2                                                 0.041
__module.model.layers.1.self_attn/aten::cat/Concat_3                                                          0.015
Multiply_44016                                                                                                0.023
Clamp_44018                                                                                                   0.000
Convert_44019                                                                                                 0.021
Convert_44020                                                                                                 0.022
__module.model.layers.1.self_attn/aten::unsqueeze/Unsqueeze_3/fc_input_0                                      0.022
__module.model.layers.1.self_attn/aten::unsqueeze/Unsqueeze_3                                                 0.005
Broadcast_36513                                                                                               0.047
Broadcast_36513_f32_bf16___module.model.layers.1.self_attn/aten::expand/Broadcast_1                           0.055
__module.model.layers.1.self_attn/aten::expand/Broadcast_1                                                    0.072
__module.model.layers.1.self_attn/aten::reshape/Reshape_1                                                     0.006
__module.model.layers.1.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.136
__module.model.layers.1.self_attn/aten::transpose/Transpose_3                                                 0.035
__module.model.layers.1.self_attn/aten::reshape/Reshape_2                                                     0.006
__module.model.layers.1.self_attn/aten::reshape/Reshape_2_0_0/nncf_smooth_quant                               0.055
Multiply_44025                                                                                                0.000
Clamp_44027                                                                                                   0.000
Convert_44028                                                                                                 0.062
Convert_44029                                                                                                 0.065
__module.model.layers.1.self_attn/aten::reshape/Reshape_2_0_0/nncf_smooth_quant/fc_output_0                   0.045
__module.model.layers.1.self_attn.o_proj/ov_ext::linear/MatMul                                                2.606
__module.model.layers.1/aten::add/Add                                                                         0.055
__module.model.layers.1.post_attention_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant                   0.049
Multiply_44034                                                                                                0.176
Clamp_44036                                                                                                   0.000
Convert_44037                                                                                                 0.063
Convert_44038                                                                                                 0.065
__module.model.layers.1.post_attention_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant/fc_output_0          0.043
__module.model.layers.1.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.124
__module.model.layers.1.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.1.mlp.up_proj/ov_ext::linear/MatMul                                                     5.959
__module.model.layers.1.mlp/aten::mul/Multiply                                                                0.342
__module.model.layers.1.mlp/aten::mul/Multiply_0_0/nncf_smooth_quant                                          0.000
Multiply_44043                                                                                                0.000
Clamp_44045                                                                                                   0.000
Convert_44046                                                                                                 0.223
Convert_44047                                                                                                 0.238
__module.model.layers.1.mlp/aten::mul/Multiply_0_0/nncf_smooth_quant/fc_output_0                              0.237
__module.model.layers.1.mlp.down_proj/ov_ext::linear/MatMul                                                   7.774
__module.model.layers.1/aten::add/Add_1                                                                       0.059
__module.model.layers.2.input_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant                            0.053
Multiply_44052                                                                                                0.050
Clamp_44054                                                                                                   0.000
Convert_44055                                                                                                 0.062
Convert_44056                                                                                                 0.064
__module.model.layers.2.input_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant/fc_output_0                0.044
__module.model.layers.2.self_attn.q_proj/ov_ext::linear/MatMul                                                1.315
__module.model.layers.2.self_attn/aten::view/Reshape                                                          0.009
