
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
__module.model.layers.2.self_attn.o_proj/ov_ext::linear/MatMul                                                1.889
__module.model.layers.2/aten::add/Add                                                                         0.049
__module.model.layers.2.post_attention_layernorm/aten::mul/Multiply_1                                         0.047
__module.model.layers.2.mlp.gate_proj/ov_ext::linear/MatMul                                                   8.355
__module.model.layers.2.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.2.mlp.up_proj/ov_ext::linear/MatMul                                                     8.262
__module.model.layers.2.mlp/aten::mul/Multiply                                                                0.349
__module.model.layers.2.mlp.down_proj/ov_ext::linear/MatMul                                                   9.713
__module.model.layers.2/aten::add/Add_1                                                                       0.065
__module.model.layers.3.input_layernorm/aten::mul/Multiply_1                                                  0.052
__module.model.layers.3.self_attn.q_proj/ov_ext::linear/MatMul                                                1.902
__module.model.layers.3.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.3.self_attn/aten::add/Add                                                               0.091
__module.model.layers.3.self_attn.k_proj/ov_ext::linear/MatMul                                                0.460
__module.model.layers.3.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.3.self_attn/aten::add/Add_1                                                             0.030
__module.model.layers.3.self_attn.v_proj/ov_ext::linear/MatMul                                                0.473
__module.model.layers.3.self_attn/aten::view/Reshape_2                                                        0.008
__module.model.layers.3.self_attn/aten::transpose/Transpose_2                                                 0.015
__module.model.layers.3.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.908
__module.model.layers.3.self_attn/aten::transpose/Transpose_3                                                 0.044
__module.model.layers.3.self_attn/aten::reshape/Reshape_2                                                     0.005
__module.model.layers.3.self_attn.o_proj/ov_ext::linear/MatMul                                                2.018
__module.model.layers.3/aten::add/Add                                                                         0.052
__module.model.layers.3.post_attention_layernorm/aten::mul/Multiply_1                                         0.047
__module.model.layers.3.mlp.gate_proj/ov_ext::linear/MatMul                                                   7.946
__module.model.layers.3.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.3.mlp.up_proj/ov_ext::linear/MatMul                                                     8.374
__module.model.layers.3.mlp/aten::mul/Multiply                                                                0.213
__module.model.layers.3.mlp.down_proj/ov_ext::linear/MatMul                                                   9.968
__module.model.layers.3/aten::add/Add_1                                                                       0.068
__module.model.layers.4.input_layernorm/aten::mul/Multiply_1                                                  0.052
__module.model.layers.4.self_attn.q_proj/ov_ext::linear/MatMul                                                2.071
__module.model.layers.4.self_attn/aten::view/Reshape                                                          0.008
__module.model.layers.4.self_attn/aten::add/Add                                                               0.089
__module.model.layers.4.self_attn.k_proj/ov_ext::linear/MatMul                                                0.518
__module.model.layers.4.self_attn/aten::view/Reshape_1                                                        0.006
__module.model.layers.4.self_attn/aten::add/Add_1                                                             0.032
__module.model.layers.4.self_attn.v_proj/ov_ext::linear/MatMul                                                0.565
__module.model.layers.4.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.4.self_attn/aten::transpose/Transpose_2                                                 0.020
__module.model.layers.4.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                1.004
__module.model.layers.4.self_attn/aten::transpose/Transpose_3                                                 0.048
__module.model.layers.4.self_attn/aten::reshape/Reshape_2                                                     0.006
__module.model.layers.4.self_attn.o_proj/ov_ext::linear/MatMul                                                1.864
__module.model.layers.4/aten::add/Add                                                                         0.053
__module.model.layers.4.post_attention_layernorm/aten::mul/Multiply_1                                         0.048
__module.model.layers.4.mlp.gate_proj/ov_ext::linear/MatMul                                                   8.418
__module.model.layers.4.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.4.mlp.up_proj/ov_ext::linear/MatMul                                                     8.108
__module.model.layers.4.mlp/aten::mul/Multiply                                                                0.218
